Date,ARNE,Total_cloud_cover,Total_precipitation,Downward_Long-Wave_Rad_Flux,Downward_Short-Wave_Rad_Flux,Pressure,Precipitable_water,Specific_humidity_height_above_ground,Total_Column-Integrated_Condensate,Minimum_temperature,Temperature_height_above_ground,Temperature_surface,Upward_Long-Wave_Rad_Flux_surface,Upward_Long-Wave_Rad_Flux,Maximum_temperature
19940101,10706100,0.027589545,0.0,0.91844374,0.0,0.9670017,0.20667957,0.10861331,0.027771048,0.92270494,0.92390376,0.9186274999999999,0.7136454000000001,0.62944525,0.91844374
19940102,8062500,0.0,0.0,0.9036040999999999,0.0,0.9792004999999999,0.09750634,0.13333288,0.00027150466,0.9067261999999999,0.90672475,0.9028403,0.66189814,0.74461085,0.9036040999999999
19940103,11618400,0.0,4.4235070000000004e-05,0.9254215,0.0,0.9813705,0.07539984,0.13078092,0.00012605573,0.91592014,0.915969,0.9136884,0.716707,0.739575,0.9254215
19940104,12134400,0.0019361085000000001,0.0,0.9116779,0.0,0.96541214,0.1852044,0.114615396,0.0018229597,0.92240596,0.9233442,0.9193064000000001,0.7000588000000001,0.75230175,0.9116779
19940105,6918600,0.0038722164,0.0,0.9424183,0.0,0.9609380999999999,0.16011915,0.16857642,0.0039271209999999996,0.9275278,0.92746365,0.9262074,0.75683254,0.8090771999999999,0.9424183
19940106,3500400,0.011616649,0.000110587665,0.87876827,0.0,0.98683447,0.12199645,0.08655652400000001,0.011437133,0.88209766,0.8820571,0.8820238000000001,0.60560215,0.69272566,0.87876827
19940107,12181800,0.015004841000000001,0.0,0.8932633,0.0,0.9787271999999999,0.11103359,0.07532371,0.014535194,0.89660895,0.89903325,0.8923834,0.62976044,0.6797502,0.8932633
19940108,11608800,0.004840271,0.0,0.89677936,0.0,0.9763238999999999,0.10936604,0.11121491,0.0050664707,0.9007669,0.9007624,0.89644533,0.64316237,0.68103886,0.89677936
19940109,10866000,0.004356243599999999,0.0,0.91405207,0.0,0.97177184,0.11552693,0.11249757,0.0041016596,0.91217816,0.91216683,0.9087780999999999,0.6877104,0.7534746,0.91405207
19940110,11328600,0.0,0.0,0.90837824,0.0,0.9828884,0.16307686,0.19809769,0.00111026,0.9108961,0.91085595,0.90705895,0.67389226,0.7089803000000001,0.90837824
